label,rank,token,mean_tfidf
casino,1,slots,0.059485178011654226
casino,2,promo,0.056506239044440215
casino,3,club,0.055956008107539736
casino,4,https,0.05456632828667359
casino,5,bonus,0.05281758888544914
casino,6,live,0.05179553177369487
casino,7,registration,0.050613548714111604
casino,8,app,0.05026205039251251
casino,9,login,0.05003267394162045
casino,10,com,0.04995854286244706
casino,11,mirror,0.04959801702344278
casino,12,online,0.049060259239636944
casino,13,xyz,0.04701957980151902
casino,14,pro,0.04645799291893709
casino,15,vip,0.046126797090267666
casino,16,site,0.044264686268972196
casino,17,net,0.039967123504139924
casino,18,org,0.038824025156028626
casino,19,com bonus,0.01664090871870401
casino,20,com slots,0.016251768569146733
casino,21,com promo,0.014444512933620446
casino,22,com login,0.01360085214828964
casino,23,com registration,0.012123777589767265
casino,24,com mirror,0.011461198798736834
casino,25,club promo,0.010726073795956673
legit,1,com,0.406969620656878
legit,2,www,0.3179758250610128
legit,3,https www,0.17536995784186185
legit,4,https,0.15117773589236447
legit,5,com www,0.12624741354492552
legit,6,org,0.10227574044579542
legit,7,html,0.0421416818736383
legit,8,net,0.030881390654805992
legit,9,org www,0.029203025556590212
legit,10,htm,0.02458520794744839
legit,11,php,0.017222993201888654
legit,12,info,0.010140334167952764
legit,13,index,0.008720660901984078
legit,14,asp,0.007399054969609516
legit,15,net www,0.006900047447925307
legit,16,gov,0.00640737899431715
legit,17,2011,0.006354578641429006
legit,18,edu,0.005561477133888356
legit,19,aspx,0.005412619121139936
legit,20,com 2011,0.0047087774211372465
legit,21,index php,0.004060806539975909
legit,22,2010,0.0039222422569852484
legit,23,paypal,0.0038152727479795995
legit,24,news,0.0037781831355958137
legit,25,blog,0.0034002107215387986
phishing,1,com,0.39805557521950136
phishing,2,https,0.20444111608814275
phishing,3,www,0.12559213653470835
phishing,4,html,0.06051633562540972
phishing,5,https www,0.06044049328763526
phishing,6,net,0.04644276846756469
phishing,7,htm,0.045002196464056676
phishing,8,org,0.04002805711591959
phishing,9,http,0.031223181174179153
phishing,10,html www,0.025271187656189506
phishing,11,php,0.024230634000328533
phishing,12,index,0.02130844024671207
phishing,13,htm www,0.018312095773381134
phishing,14,index html,0.015775358183976816
phishing,15,info,0.0150135649744536
phishing,16,http www,0.012658938943266087
phishing,17,com index,0.008382922133796853
phishing,18,login,0.00808234721568813
phishing,19,asp,0.00736450194316751
phishing,20,amp,0.006818695480858257
phishing,21,index htm,0.006680321745220321
phishing,22,home,0.006636120165337579
phishing,23,products,0.006499655713341528
phishing,24,php www,0.006395922901266685
phishing,25,english,0.006132505733995755
pyramid,1,withdraw,0.05641994212985678
pyramid,2,plans,0.05639560030315134
pyramid,3,dashboard,0.05459081957698569
pyramid,4,referral,0.05411513798938525
pyramid,5,staking,0.05401012470318865
pyramid,6,invest,0.05286397114720168
pyramid,7,profit,0.05196219399033249
pyramid,8,pro,0.05070790792755519
pyramid,9,https,0.0505141187506406
pyramid,10,vip,0.05008691733652705
pyramid,11,club,0.04908767163224205
pyramid,12,online,0.04805043537653242
pyramid,13,live,0.0470312999655409
pyramid,14,xyz,0.046604751939712946
pyramid,15,site,0.04303122198020758
pyramid,16,net,0.041807144959231046
pyramid,17,com,0.03586027142346427
pyramid,18,org,0.03509547533279376
pyramid,19,com plans,0.012031277816122982
pyramid,20,com dashboard,0.010729017263995335
pyramid,21,club invest,0.01066119699564573
pyramid,22,com withdraw,0.010659239496009333
pyramid,23,com referral,0.010628949131186442
pyramid,24,com invest,0.010571246553336727
pyramid,25,club staking,0.010510789841357608
suspicious,1,com,0.09749052970891321
suspicious,2,http,0.08174918421084268
suspicious,3,mozi,0.07130569248466015
suspicious,4,https,0.04513994908924076
suspicious,5,www,0.04361305874281662
suspicious,6,http www,0.03480105431743315
suspicious,7,html,0.031310699326711725
suspicious,8,index,0.030947382744205998
suspicious,9,php,0.028297539057245257
suspicious,10,index php,0.023671319680728033
suspicious,11,jpg,0.022132771314694055
suspicious,12,exe,0.019019012669727147
suspicious,13,123,0.01883667754095351
suspicious,14,option,0.01775836645553932
suspicious,15,172,0.017250859497381636
suspicious,16,115,0.01645280364234105
suspicious,17,php option,0.016330131793107692
suspicious,18,itemid,0.01521307113281132
suspicious,19,com index,0.015201933946556357
suspicious,20,view,0.01506828200431832
suspicious,21,111,0.014050757859692026
suspicious,22,index html,0.013190528717922092
suspicious,23,114,0.013074661194959071
suspicious,24,182,0.012627888297564477
suspicious,25,article,0.012194423217123551
